DecoID,Name,Pass,EdgeType,ThemeID,Shape,Description
grw_grass_blade,Grass Blade,EdgeDetail,floor,ALL,poly,Triangular blade growing upward from floor
grw_grass_tip,Grass Stem Bulb,EdgeDetail,floor,ALL,circle+line,Stem with rounded bulb at tip
hang_root_strand,Root Strand,EdgeDetail,ceiling,ALL,line,Curved root hanging down
hang_drip_drop,Water Drip,EdgeDetail,ceiling,ALL,circle,Blue-gray water droplet at root end
cling_moss_patch,Moss Patch,EdgeDetail,wall,ALL,circle,Moss circles adhering to walls
cling_vine,Vine Tendril,EdgeDetail,wall,ALL,line+poly,Vine leaf with connecting line
st_steel_beam,Steel I-Beam,EdgeStructure,any,ALL,composite,I-section beam with flanges and web
st_concrete_chunk,Concrete Chunk,EdgeStructure,any,ALL,poly+line,Irregular jagged concrete with crack line
st_rebar_bundle,Reinforced Bar,EdgeStructure,any,ALL,line_bent,Rusty bent bars sticking out (2-5)
st_pipe_segment,Pipe Segment,EdgeStructure,any,ALL,roundRect+rect,Cylindrical pipe with joint ring
st_girder_outline,Girder Outline,EdgeStructure,any,ALL,line_L+line,L-shaped outline with cross-braces
st_chain_catenary,Chain,EdgeStructure,ceiling,ALL,line+rect,Catenary chain with rectangular links
st_branching_vine,Branching Vine,EdgeStructure,wall,ALL,line_recursive+poly,Recursive 2-3 level branching vine with leaves
hab_cloth_strip,Cloth Strip,EdgeDetail,ceiling,T-HABITAT,line_wavy,2-3 wavy hanging fabric strips (width 3)
hab_wire_bulb,Wired Bulb,EdgeDetail,ceiling,T-HABITAT,line+circle_double,Wire with warm double-glow bulb (4px+2px)
hab_debris_tile,Broken Tile,EdgeDetail,floor,T-HABITAT,poly_triangle,Scattered triangular tile fragments (4-7)
hab_floor_stain,Floor Stain,EdgeDetail,floor,T-HABITAT,circle_faint,Brown water stain circle
hab_wiring_bundle,Wiring Bundle,EdgeDetail,wall,T-HABITAT,line_parallel,3-4 parallel steel wires
hab_pipe_bracket,Pipe Bracket,EdgeDetail,wall,T-HABITAT,line_L,L-shaped pipe support bracket with thickness
hab_vent_grille,Ventilation Grille,EdgeStructure,floor,T-HABITAT,rect+line_v,Large vent (40-80px) with 10 vertical slats
hab_furniture_piece,Broken Furniture,EdgeStructure,floor,T-HABITAT,rect_composite,Table top with leg + concrete fill
hab_cabinet_frame,Wall Cabinet,EdgeStructure,wall,T-HABITAT,rect+line+rect_multi,Cabinet with interior shelf + 4 objects
hab_light_fixture,Light Fixture,EdgeStructure,ceiling,T-HABITAT,rect+rect_glow+line,Large fluorescent (32-64px) with warm glow + 4 cables
span_hab_vert,Vertical Pipe Run,Spanning,vertical,T-HABITAT,line+line_L_repeat,Vertical pipe with L-bracket supports
span_hab_horiz,Cable Bundle Sag,Spanning,horizontal,T-HABITAT,line_catenary_x3,3 parallel wires with independent catenary sag
surf_hab_stain,Water Stain+Scuff,SurfaceOverlay,any,T-HABITAT,circle+line,Floor stain circle + scuff line / wall handprint
emb_hab_pipe,Embedded Pipe+Valve,Embedded,solid,T-HABITAT,roundRect+circle_cross,Horizontal pipe with valve wheel (cross handle)
void_hab_lint,Floating Lint,VoidFill,void,T-HABITAT,line_curled,Curled 3-segment fiber
micro_hab_tuft,Fabric Tuft,Micro,any,T-HABITAT,line_forked,Forked 2-line fiber from single point
sec_warning_stripe,Warning Stripe,EdgeDetail,floor,T-SECURITY,line_diagonal,5-7 alternating yellow-black diagonal stripes
sec_sensor_strip,Floor Sensor,EdgeDetail,floor,T-SECURITY,rect_glow,Blue-glowing floor-mounted sensor strip
sec_rail_bar,Surveillance Rail,EdgeDetail,ceiling,T-SECURITY,rect+composite,Mounting bar with 2 camera pods (arm+housing+blue lens)
sec_laser_line,Laser Line,EdgeDetail,wall,T-SECURITY,line+circle_red,2-4 horizontal laser beams with red emitter dots
sec_barrier_post,Barrier Post Pair,EdgeStructure,floor,T-SECURITY,rect_pair+line_yellow,2 capped posts with 2 hazard tape lines
sec_armored_panel,Armored Panel,EdgeStructure,ceiling,T-SECURITY,rect+circle_bolt+composite,Heavy panel with 6 bolts + camera drop arm + lens
sec_camera_arm,Camera Articulate,EdgeStructure,wall,T-SECURITY,rect+line_angled+circle_lens,Large camera on articulated arm (mount+arm+housing+lens)
sec_gate_frame,Security Gate,EdgeStructure,wall,T-SECURITY,rect_fullheight+line_chevron,Full-height gate with 3 warning chevrons
sec_access_panel,Access Panel,EdgeStructure,wall,T-SECURITY,rect+rect_slot+circle_led,14x14 panel with card slot + 3 status LEDs
span_sec_vert,Vertical Laser,Spanning,vertical,T-SECURITY,line+circle_red_pair,Laser beam with red emitter/receiver dots
